Marca temporal,1. Selecciona tu sexo ,2. Disfrutas reparar o construir cosas con tus manos ,3. Prefieres actividades físicas o al aire libre antes que permanecer en una oficina ,4. Te interesa entender cómo funcionan las máquinas o las herramientas ,"5. Antes de tomar una decisión, prefieres analizar la información ",6. Disfrutas resolver problemas complejos o rompecabezas ,7. Te gusta investigar temas científicos o técnicos con profundidad ,"8. Prefieres expresarte mediante el arte, la música o la escritura ","9. Cuando surge un problema, buscas soluciones creativas o poco convencionales ",10. Disfrutas diseñar o crear cosas nuevas ,11. Te gusta ayudar a otras personas a resolver sus problemas ,12. Te resulta fácil escuchar y comprender las emociones de los demás ,13. Prefieres trabajar en equipo antes que trabajar solo ,14. Te gusta convencer a otras personas y dirigir proyectos ,15. Estás dispuesto(a) a asumir riesgos para alcanzar una meta importante ,16. Te gustaría iniciar tu propio negocio o proyecto en el futuro ,17. Prefieres seguir procedimientos y mantener todo organizado ,18. Prefieres tareas con instrucciones claras antes que actividades ambiguas ,19. Te gusta llevar un registro detallado de tus actividades o gastos 
23/7/2026 9:06:43,Hombre,A veces me identifica,"Sí, lo prefiero",No me interesa,Siempre,Mucho,Solo cuando el tema me interesa,En algunas ocasiones,Prefiero soluciones tradicionales,Algunas veces,Solo en algunas ocasiones,"Sí, con facilidad",Depende de la actividad,Solo cuando es necesario,Prefiero evitar riesgos,"Sí, definitivamente","Sí, siempre",Depende de la situación,Solo en algunas ocasiones
23/7/2026 9:16:03,Mujer,A veces me identifica,Depende de la situación,Me interesa un poco,Casi nunca,De vez en cuando,No suele gustarme,No es algo que disfrute,Casi siempre,Poco o nada,Siempre que puedo,Depende de la persona,"Sí, definitivamente",Solo cuando es necesario,Solo si el riesgo es razonable,No está en mis planes,"Sí, siempre","Sí, me siento más cómodo(a)","Sí, de manera constante"
23/7/2026 9:17:12,Mujer,A veces me identifica,Depende de la situación,Me interesa un poco,Siempre,De vez en cuando,Solo cuando el tema me interesa,No es algo que disfrute,Prefiero soluciones tradicionales,Poco o nada,Siempre que puedo,Depende de la persona,Prefiero trabajar solo,Solo cuando es necesario,Solo si el riesgo es razonable,Tal vez,Solo cuando es necesario,Depende de la situación,"Sí, de manera constante"
23/7/2026 9:20:13,Hombre,A veces me identifica,"Sí, lo prefiero",Me interesa mucho,Algunas veces,Poco o nada,No suele gustarme,En algunas ocasiones,Algunas veces,Algunas veces,Siempre que puedo,Depende de la persona,Depende de la actividad,Solo cuando es necesario,"Sí, sin problema",Tal vez,Solo cuando es necesario,Depende de la situación,"Sí, de manera constante"
23/7/2026 9:21:58,Hombre,A veces me identifica,"Sí, lo prefiero",Me interesa mucho,Algunas veces,Mucho,Solo cuando el tema me interesa,En algunas ocasiones,Algunas veces,Algunas veces,Siempre que puedo,"Sí, con facilidad",Depende de la actividad,"Sí, disfruto liderar","Sí, sin problema",Tal vez,Solo cuando es necesario,"Sí, me siento más cómodo(a)",Solo en algunas ocasiones
23/7/2026 9:37:12,Hombre,"Sí, me identifica mucho",Depende de la situación,Me interesa mucho,Algunas veces,Mucho,Solo cuando el tema me interesa,No es algo que disfrute,Algunas veces,Algunas veces,Siempre que puedo,"Sí, con facilidad",Depende de la actividad,"Sí, disfruto liderar","Sí, sin problema","Sí, definitivamente",Prefiero trabajar de manera flexible,Depende de la situación,Casi nunca
23/7/2026 9:54:34,Hombre,"Sí, me identifica mucho","Sí, lo prefiero",Me interesa mucho,Siempre,Mucho,Solo cuando el tema me interesa,En algunas ocasiones,Algunas veces,Algunas veces,Siempre que puedo,Depende de la persona,Depende de la actividad,Solo cuando es necesario,Solo si el riesgo es razonable,Tal vez,Solo cuando es necesario,Depende de la situación,Solo en algunas ocasiones
23/7/2026 10:03:47,Mujer,A veces me identifica,Depende de la situación,Me interesa un poco,Algunas veces,De vez en cuando,Solo cuando el tema me interesa,No es algo que disfrute,Prefiero soluciones tradicionales,Poco o nada,Solo en algunas ocasiones,Depende de la persona,Prefiero trabajar solo,Solo cuando es necesario,Solo si el riesgo es razonable,"Sí, definitivamente","Sí, siempre","Sí, me siento más cómodo(a)",Casi nunca
23/7/2026 10:51:30,Hombre,A veces me identifica,"Sí, lo prefiero",Me interesa mucho,Siempre,De vez en cuando,Solo cuando el tema me interesa,"Sí, es una de mis formas favoritas",Prefiero soluciones tradicionales,Mucho,Siempre que puedo,Me cuesta trabajo,"Sí, definitivamente",Solo cuando es necesario,Solo si el riesgo es razonable,"Sí, definitivamente",Solo cuando es necesario,Depende de la situación,Casi nunca
23/7/2026 11:55:52,Hombre,"Sí, me identifica mucho",Depende de la situación,Me interesa mucho,Siempre,De vez en cuando,Solo cuando el tema me interesa,"Sí, es una de mis formas favoritas",Algunas veces,Mucho,Siempre que puedo,"Sí, con facilidad",Depende de la actividad,Solo cuando es necesario,Solo si el riesgo es razonable,Tal vez,Solo cuando es necesario,"Sí, me siento más cómodo(a)","Sí, de manera constante"
